time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451900000	6.8551	20.1488	5.24238	-2.74741	0.42689	lidar	0.204486	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.62502	20.0596	5.1711	-2.73167	0.416808	radar	0.615062	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.38517	19.9654	5.17529	-2.71548	0.41172	lidar	0.126481	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.1673	19.8729	5.13594	-2.69669	0.411596	radar	3.04338	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.90452	19.7778	5.199	-2.68927	0.395754	lidar	0.310069	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.65435	19.6364	5.3509	-2.65812	0.417648	radar	1.59252	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.51584	19.5057	5.13968	-2.61327	0.449199	lidar	2.31929	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.31316	19.3574	5.13042	-2.5799	0.463786	radar	1.86158	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11262	19.2534	5.07488	-2.56434	0.456873	lidar	2.01385	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.93966	19.1395	4.88355	-2.5449	0.447913	radar	4.59037	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79592	18.99	4.77591	-2.50387	0.471883	lidar	0.653279	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.57904	18.8398	4.9251	-2.48207	0.474687	radar	1.65786	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.40946	18.7084	4.86113	-2.45836	0.47653	lidar	1.03513	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
